# frame +z -z 
10 0 0
20 0 0
30 0 1
40 0 1
50 0 1
60 0 1
70 0 1
80 0 1
90 0 1
100 0 1
110 0 3
120 0 3
130 0 3
140 0 4
150 0 4
160 0 4
170 0 4
180 0 4
190 0 4
200 0 5
210 0 5
220 0 5
230 0 5
240 0 5
250 0 6
260 0 7
270 0 10
280 0 10
290 0 10
300 0 11
310 0 12
320 0 12
330 0 13
340 0 13
350 0 13
360 0 13
370 0 13
380 0 13
390 0 13
400 0 14
410 0 14
420 0 14
430 0 14
440 0 14
450 0 14
460 0 14
470 0 14
480 0 14
490 0 14
500 0 15
510 0 16
520 0 17
530 0 17
540 0 17
550 0 17
560 0 18
570 0 19
580 0 19
590 0 20
600 0 20
610 0 21
620 0 23
630 0 24
640 0 24
650 0 26
660 0 27
670 0 27
680 0 27
690 0 29
700 0 32
710 0 32
720 0 32
730 0 33
740 2 33
750 2 33
760 2 33
770 2 33
780 2 33
790 2 34
800 2 34
810 2 36
820 2 38
830 2 38
840 2 38
850 2 38
860 2 38
870 2 38
880 2 38
890 2 38
900 2 38
910 2 38
920 2 40
930 2 41
940 2 41
950 2 44
960 2 46
970 3 46
980 4 47
990 5 47
1000 5 48
