# step Epot T p V 
0 -4685.3498 0.0 6516.2573 23823.124 
5000 -5168.8909 297.6061 184.8982 23569.6721 
10000 -5098.8644 300.9886 -402.4403 23403.2721 
15000 -5205.9845 294.3477 93.4286 22952.3445 
20000 -5187.2986 298.3706 238.2366 22969.9016 
25000 -5190.5277 292.8786 -453.5406 22839.7878 
30000 -5210.968 294.7226 -602.9794 22873.6292 
35000 -5236.7591 301.9065 451.7588 22443.1429 
40000 -5205.4687 302.034 -209.0376 22678.9765 
45000 -5196.7943 311.5993 -83.7053 22613.2826 
50000 -5154.0849 306.4522 -480.6205 23026.0063 
55000 -5184.2861 306.6484 33.0229 23048.7897 
60000 -5205.0875 297.1041 -954.5171 22892.5302 
65000 -5275.5327 304.1738 -220.7952 22775.667 
70000 -5239.7835 301.8777 4.5618 22505.8154 
75000 -5129.8632 318.3954 113.8717 22879.7863 
80000 -5251.9193 295.8258 -965.5156 22614.8646 
85000 -5211.7396 298.5111 139.3362 22903.3856 
90000 -5223.3102 303.4844 142.8353 22362.5419 
95000 -5168.6468 288.9585 -215.3808 22596.4385 
100000 -5212.0416 301.9423 -238.9693 22476.2492 
105000 -5224.3997 301.7113 -176.5709 22833.8971 
110000 -5234.9612 296.3523 -116.4905 22891.6104 
115000 -5221.2556 294.063 -550.2527 22719.2266 
120000 -5266.0933 301.9172 -516.7553 22418.4739 
125000 -5219.0717 300.3988 -528.9547 22999.2614 
130000 -5188.7011 310.8743 -66.6385 22704.3951 
135000 -5186.3982 283.9535 -576.9545 22830.5871 
140000 -5245.1246 286.2644 -658.2892 22544.9103 
145000 -5227.3295 305.4205 -338.1594 22432.4185 
150000 -5254.3359 300.4294 -99.2472 22408.8218 
155000 -5237.4106 284.2238 223.2244 22354.7763 
160000 -5238.5296 297.9815 -166.4857 22461.1032 
165000 -5212.2213 284.0525 60.8281 22714.3606 
170000 -5196.9497 294.32 -253.1986 22913.9517 
175000 -5236.2081 297.5173 -328.8928 22648.5953 
180000 -5181.8486 296.9232 -177.957 22600.8575 
185000 -5185.6268 294.2218 -323.0488 22904.063 
190000 -5133.0561 296.1768 68.2971 22757.2765 
195000 -5177.3211 308.9987 -715.9884 22564.1294 
200000 -5137.25 296.8264 -237.9612 22713.6767 
205000 -5211.0425 290.2601 225.7359 22629.3907 
210000 -5150.7327 299.9995 87.3892 22889.2167 
215000 -5165.2896 296.2579 -215.9217 22624.6132 
220000 -5195.0155 305.0463 -276.5703 22592.6864 
225000 -5153.7672 312.5896 108.3838 22551.9287 
230000 -5210.9793 279.8493 -556.2172 22690.4693 
235000 -5231.2566 308.1902 -520.1614 22848.909 
240000 -5187.5565 298.6057 -358.9689 22956.6163 
245000 -5209.3315 297.5411 -459.0541 22759.6338 
250000 -5173.0207 292.9069 46.0589 23009.5163 
255000 -5190.5402 311.2996 -642.6709 22927.5616 
260000 -5190.0497 291.2176 -88.4733 22674.7155 
265000 -5200.4262 283.0617 -1001.3035 22855.2258 
270000 -5193.5914 293.9914 857.2974 22520.8719 
275000 -5154.893 309.2606 585.8719 22771.2415 
280000 -5237.2855 294.6468 194.1234 22642.6785 
285000 -5184.409 294.2243 -662.5547 22951.5753 
290000 -5235.7659 301.3895 -690.15 22637.8281 
295000 -5267.5147 283.2259 -394.8027 22599.663 
300000 -5185.2678 288.5012 496.9536 22743.6645 
305000 -5239.16 291.0094 -82.6344 22556.0238 
310000 -5260.6625 312.1124 -738.8033 22517.1644 
315000 -5180.6522 292.5627 -262.9774 22520.4662 
320000 -5144.048 309.5413 -300.6002 22756.9557 
325000 -5220.1619 292.8851 -255.5576 22898.4653 
330000 -5183.4116 306.0373 -115.8175 23081.8494 
335000 -5225.3384 294.2743 -614.8196 22674.3323 
340000 -5203.799 282.4802 63.738 22869.5794 
345000 -5248.2342 293.1587 -237.926 22534.5225 
350000 -5251.109 289.8013 -185.7456 22375.0282 
355000 -5211.2422 290.9915 -140.1982 22679.3638 
360000 -5294.9855 294.9604 -982.3075 22471.0208 
365000 -5205.2946 300.2729 -837.2172 22825.8466 
370000 -5170.4978 301.0561 462.0485 22742.1201 
375000 -5159.1862 301.0984 -494.6863 22757.8848 
380000 -5218.7803 303.469 -295.4766 22673.6841 
385000 -5233.983 298.235 359.1859 22653.7921 
390000 -5323.1249 303.4184 -47.2158 22430.4211 
395000 -5181.5633 288.2343 455.372 22479.9553 
400000 -5281.3682 296.3925 -384.2168 22559.7717 
405000 -5221.1685 301.6632 -1.7186 22428.6499 
410000 -5204.3246 295.3685 -331.2842 22454.5154 
415000 -5193.6812 288.6636 -81.626 22786.9684 
420000 -5195.047 300.0867 -505.8977 22786.2222 
425000 -5194.0506 290.0482 46.2821 22763.6002 
430000 -5182.8463 301.8398 -183.4873 22483.2125 
435000 -5182.5871 293.233 -224.8762 22666.4655 
440000 -5221.9575 291.6974 396.0769 22444.9634 
445000 -5256.4354 299.713 -365.7497 22696.7611 
450000 -5237.7478 306.6456 -209.1188 22735.0044 
455000 -5272.3837 303.6556 -381.4698 22560.5104 
460000 -5250.7847 309.3931 -216.9984 22416.006 
465000 -5218.1999 300.5629 51.1901 22607.9147 
470000 -5208.1044 290.2823 -1018.6729 22789.331 
475000 -5198.0231 301.7816 -320.5163 22756.4729 
480000 -5208.9401 305.0 -1144.2227 22981.5915 
485000 -5247.6736 310.3149 -474.3634 22559.3837 
490000 -5177.7243 295.0517 -333.5205 22449.3903 
495000 -5230.3333 302.6781 -255.3014 22798.2514 
500000 -5155.1466 311.031 375.2972 22774.8499 
