ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000          -5460.6262       775.2765         0.0000         0.0000         0.0000          -4685.3498         0.0000     -4685.3498     -4684.5917         0.0000           6516.2573      6528.3349     23823.1240      6516.2573      6528.3349
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000          -5696.7997       527.9089         0.0000         0.0000       936.7779          -4232.1130       297.6061     -5168.8909     -4231.3958       280.4154            184.8982       182.6980     23569.6721      -209.0498      -208.9343
ENERGY:   10000         0.0000         0.0000         0.0000         0.0000          -5519.5975       420.7331         0.0000         0.0000       947.4248          -4151.4396       300.9886     -5098.8644     -4148.4868       298.6988           -402.4403      -397.7241     23403.2721      -223.4562      -223.4665
ENERGY:   15000         0.0000         0.0000         0.0000         0.0000          -5654.7847       448.8003         0.0000         0.0000       926.5215          -4279.4630       294.3477     -5205.9845     -4277.1077       303.8433             93.4286       128.3195     22952.3445      -192.8459      -192.9541
ENERGY:   20000         0.0000         0.0000         0.0000         0.0000          -5634.7656       447.4670         0.0000         0.0000       939.1843          -4248.1143       298.3706     -5187.2986     -4245.6607       298.3650            238.2366       259.8401     22969.9016      -252.3633      -252.4785
ENERGY:   25000         0.0000         0.0000         0.0000         0.0000          -5575.3284       384.8008         0.0000         0.0000       921.8969          -4268.6307       292.8786     -5190.5277     -4267.2956       298.4376           -453.5406      -439.1206     22839.7878      -276.4829      -276.3625
ENERGY:   30000         0.0000         0.0000         0.0000         0.0000          -5609.6137       398.6457         0.0000         0.0000       927.7015          -4283.2665       294.7226     -5210.9680     -4280.5719       297.9137           -602.9794      -586.8151     22873.6292      -263.2354      -263.4032
ENERGY:   35000         0.0000         0.0000         0.0000         0.0000          -5650.0850       413.3259         0.0000         0.0000       950.3143          -4286.4448       301.9065     -5236.7591     -4283.9397       301.4711            451.7588       472.0662     22443.1429      -231.1002      -231.1896
ENERGY:   40000         0.0000         0.0000         0.0000         0.0000          -5596.0971       390.6284         0.0000         0.0000       950.7157          -4254.7531       302.0340     -5205.4687     -4251.8707       301.2948           -209.0376      -182.5358     22678.9765      -186.6296      -186.7554
ENERGY:   45000         0.0000         0.0000         0.0000         0.0000          -5584.6531       387.8588         0.0000         0.0000       980.8245          -4215.9698       311.5993     -5196.7943     -4214.4902       302.6828            -83.7053       -74.9589     22613.2826      -284.0498      -283.9950
ENERGY:   50000         0.0000         0.0000         0.0000         0.0000          -5496.5662       342.4813         0.0000         0.0000       964.6229          -4189.4620       306.4522     -5154.0849     -4188.3809       303.4371           -480.6205      -464.4585     23026.0063      -189.0911      -189.2391
ENERGY:   55000         0.0000         0.0000         0.0000         0.0000          -5613.3681       429.0820         0.0000         0.0000       965.2404          -4219.0457       306.6484     -5184.2861     -4217.3997       304.8003             33.0229        61.4004     23048.7897      -210.8745      -210.7475
ENERGY:   60000         0.0000         0.0000         0.0000         0.0000          -5555.3313       350.2438         0.0000         0.0000       935.1979          -4269.8896       297.1041     -5205.0875     -4268.3289       303.0935           -954.5171      -951.4540     22892.5302      -233.3389      -233.2728
ENERGY:   65000         0.0000         0.0000         0.0000         0.0000          -5685.6331       410.1004         0.0000         0.0000       957.4512          -4318.0815       304.1738     -5275.5327     -4315.6261       296.9609           -220.7952      -195.7130     22775.6670      -265.1490      -265.0246
ENERGY:   70000         0.0000         0.0000         0.0000         0.0000          -5655.4604       415.6769         0.0000         0.0000       950.2235          -4289.5600       301.8777     -5239.7835     -4286.8057       297.2805              4.5618        41.5789     22505.8154      -203.0874      -203.0375
ENERGY:   75000         0.0000         0.0000         0.0000         0.0000          -5528.7196       398.8564         0.0000         0.0000      1002.2166          -4127.6466       318.3954     -5129.8632     -4125.0366       305.3858            113.8717       141.7977     22879.7863      -176.1977      -176.1686
ENERGY:   80000         0.0000         0.0000         0.0000         0.0000          -5598.6495       346.7302         0.0000         0.0000       931.1739          -4320.7454       295.8258     -5251.9193     -4317.4852       303.6628           -965.5156      -940.4029     22614.8646      -245.4741      -245.4132
ENERGY:   85000         0.0000         0.0000         0.0000         0.0000          -5647.4078       435.6681         0.0000         0.0000       939.6264          -4272.1133       298.5111     -5211.7396     -4271.2152       298.3620            139.3362       163.2385     22903.3856      -285.5371      -285.5111
ENERGY:   90000         0.0000         0.0000         0.0000         0.0000          -5607.0661       383.7559         0.0000         0.0000       955.2810          -4268.0292       303.4844     -5223.3102     -4266.1547       299.7490            142.8353       163.6120     22362.5419      -290.4871      -290.3389
ENERGY:   95000         0.0000         0.0000         0.0000         0.0000          -5547.8843       379.2375         0.0000         0.0000       909.5578          -4259.0889       288.9585     -5168.6468     -4257.0132       300.7689           -215.3808      -205.8583     22596.4385      -212.5703      -212.5215
ENERGY:  100000         0.0000         0.0000         0.0000         0.0000          -5597.4814       385.4399         0.0000         0.0000       950.4269          -4261.6146       301.9423     -5212.0416     -4258.1630       298.0301           -238.9693      -198.5960     22476.2492      -252.4569      -252.4189
ENERGY:  105000         0.0000         0.0000         0.0000         0.0000          -5639.5199       415.1202         0.0000         0.0000       949.7000          -4274.6998       301.7113     -5224.3997     -4272.4028       298.9442           -176.5709      -154.9799     22833.8971      -257.1225      -257.2548
ENERGY:  110000         0.0000         0.0000         0.0000         0.0000          -5665.1146       430.1534         0.0000         0.0000       932.8314          -4302.1298       296.3523     -5234.9612     -4299.5807       296.4625           -116.4905       -90.3442     22891.6104      -190.1926      -190.2070
ENERGY:  115000         0.0000         0.0000         0.0000         0.0000          -5590.4272       369.1717         0.0000         0.0000       925.6251          -4295.6305       294.0630     -5221.2556     -4293.0688       293.8323           -550.2527      -529.0320     22719.2266      -234.1483      -234.2375
ENERGY:  120000         0.0000         0.0000         0.0000         0.0000          -5633.1278       367.0345         0.0000         0.0000       950.3480          -4315.7453       301.9172     -5266.0933     -4313.6791       294.5583           -516.7553      -495.1572     22418.4739      -222.7182      -222.6865
ENERGY:  125000         0.0000         0.0000         0.0000         0.0000          -5603.2512       384.1795         0.0000         0.0000       945.5683          -4273.5034       300.3988     -5219.0717     -4273.0935       296.5233           -528.9547      -513.3931     22999.2614      -284.2425      -284.2180
ENERGY:  130000         0.0000         0.0000         0.0000         0.0000          -5596.4241       407.7229         0.0000         0.0000       978.5424          -4210.1587       310.8743     -5188.7011     -4207.7867       298.0029            -66.6385       -51.9676     22704.3951      -226.8833      -226.7109
ENERGY:  135000         0.0000         0.0000         0.0000         0.0000          -5550.1541       363.7559         0.0000         0.0000       893.8033          -4292.5949       283.9535     -5186.3982     -4290.7466       301.8992           -576.9545      -545.2342     22830.5871      -215.7542      -215.9102
ENERGY:  140000         0.0000         0.0000         0.0000         0.0000          -5622.2171       377.0925         0.0000         0.0000       901.0774          -4344.0472       286.2644     -5245.1246     -4342.5035       297.0731           -658.2892      -647.4400     22544.9103      -206.2155      -206.1779
ENERGY:  145000         0.0000         0.0000         0.0000         0.0000          -5589.5455       362.2161         0.0000         0.0000       961.3753          -4265.9542       305.4205     -5227.3295     -4263.4241       300.0934           -338.1594      -324.4038     22432.4185      -236.5086      -236.5784
ENERGY:  150000         0.0000         0.0000         0.0000         0.0000          -5630.5651       376.2292         0.0000         0.0000       945.6647          -4308.6712       300.4294     -5254.3359     -4306.4621       296.3235            -99.2472       -76.2515     22408.8218      -130.2234      -130.1506
ENERGY:  155000         0.0000         0.0000         0.0000         0.0000          -5650.4072       412.9967         0.0000         0.0000       894.6541          -4342.7564       284.2238     -5237.4106     -4341.7129       295.4721            223.2244       228.1839     22354.7763      -188.4016      -188.1435
ENERGY:  160000         0.0000         0.0000         0.0000         0.0000          -5638.5639       400.0343         0.0000         0.0000       937.9594          -4300.5702       297.9815     -5238.5296     -4298.1734       297.3443           -166.4857      -143.7242     22461.1032      -221.6755      -221.8104
ENERGY:  165000         0.0000         0.0000         0.0000         0.0000          -5630.4712       418.2499         0.0000         0.0000       894.1152          -4318.1061       284.0525     -5212.2213     -4315.3916       294.7604             60.8281        79.4204     22714.3606      -212.0740      -212.1235
ENERGY:  170000         0.0000         0.0000         0.0000         0.0000          -5613.3158       416.3661         0.0000         0.0000       926.4342          -4270.5155       294.3200     -5196.9497     -4267.6801       297.7642           -253.1986      -247.8501     22913.9517      -235.2500      -235.2893
ENERGY:  175000         0.0000         0.0000         0.0000         0.0000          -5612.8165       376.6084         0.0000         0.0000       936.4985          -4299.7096       297.5173     -5236.2081     -4298.6920       299.2043           -328.8928      -314.2815     22648.5953      -186.1402      -186.1493
ENERGY:  180000         0.0000         0.0000         0.0000         0.0000          -5522.4309       340.5823         0.0000         0.0000       934.6282          -4247.2204       296.9232     -5181.8486     -4244.1024       302.3554           -177.9570      -161.4996     22600.8575      -229.7431      -229.7585
ENERGY:  185000         0.0000         0.0000         0.0000         0.0000          -5599.5231       413.8964         0.0000         0.0000       926.1249          -4259.5018       294.2218     -5185.6268     -4256.5640       296.8768           -323.0488      -308.2264     22904.0630      -210.2711      -210.3208
ENERGY:  190000         0.0000         0.0000         0.0000         0.0000          -5519.8765       386.8203         0.0000         0.0000       932.2789          -4200.7773       296.1768     -5133.0561     -4199.0918       301.4540             68.2971        78.2013     22757.2765      -215.1319      -215.0445
ENERGY:  195000         0.0000         0.0000         0.0000         0.0000          -5516.1777       338.8566         0.0000         0.0000       972.6385          -4204.6826       308.9987     -5177.3211     -4202.5325       301.2275           -715.9884      -704.7283     22564.1294      -197.4487      -197.4563
ENERGY:  200000         0.0000         0.0000         0.0000         0.0000          -5508.2950       371.0450         0.0000         0.0000       934.3235          -4202.9265       296.8264     -5137.2500     -4200.5087       306.4857           -237.9612      -216.5720     22713.6767      -220.2489      -220.2038
ENERGY:  205000         0.0000         0.0000         0.0000         0.0000          -5646.3778       435.3353         0.0000         0.0000       913.6549          -4297.3876       290.2601     -5211.0425     -4295.2134       297.8056            225.7359       245.8356     22629.3907      -213.7377      -213.6427
ENERGY:  210000         0.0000         0.0000         0.0000         0.0000          -5553.5302       402.7974         0.0000         0.0000       944.3115          -4206.4213       299.9995     -5150.7327     -4203.8786       299.0686             87.3892       102.5178     22889.2167      -313.4982      -313.5964
ENERGY:  215000         0.0000         0.0000         0.0000         0.0000          -5567.7029       402.4134         0.0000         0.0000       932.5342          -4232.7554       296.2579     -5165.2896     -4230.5739       302.0104           -215.9217      -184.2658     22624.6132      -234.5595      -234.3818
ENERGY:  220000         0.0000         0.0000         0.0000         0.0000          -5576.1429       381.1274         0.0000         0.0000       960.1974          -4234.8181       305.0463     -5195.0155     -4233.1834       301.4404           -276.5703      -250.8297     22592.6864      -221.3495      -221.3660
ENERGY:  225000         0.0000         0.0000         0.0000         0.0000          -5530.5782       376.8110         0.0000         0.0000       983.9417          -4169.8255       312.5896     -5153.7672     -4167.6519       302.6167            108.3838       124.6618     22551.9287      -197.9410      -197.9198
ENERGY:  230000         0.0000         0.0000         0.0000         0.0000          -5570.8076       359.8283         0.0000         0.0000       880.8847          -4330.0946       279.8493     -5210.9793     -4328.4200       298.5988           -556.2172      -540.3116     22690.4693      -149.9665      -150.1021
ENERGY:  235000         0.0000         0.0000         0.0000         0.0000          -5616.1296       384.8731         0.0000         0.0000       970.0935          -4261.1631       308.1902     -5231.2566     -4258.4731       295.9777           -520.1614      -483.1837     22848.9090      -268.0366      -267.8500
ENERGY:  240000         0.0000         0.0000         0.0000         0.0000          -5579.3140       391.7576         0.0000         0.0000       939.9243          -4247.6322       298.6057     -5187.5565     -4244.9953       293.9995           -358.9689      -341.0273     22956.6163      -194.0384      -194.0616
ENERGY:  245000         0.0000         0.0000         0.0000         0.0000          -5589.8846       380.5531         0.0000         0.0000       936.5732          -4272.7584       297.5411     -5209.3315     -4271.1472       298.6787           -459.0541      -440.4111     22759.6338      -235.6642      -235.5922
ENERGY:  250000         0.0000         0.0000         0.0000         0.0000          -5617.5621       444.5414         0.0000         0.0000       921.9862          -4251.0345       292.9069     -5173.0207     -4249.7267       298.8637             46.0589        60.6673     23009.5163      -280.3088      -280.3258
ENERGY:  255000         0.0000         0.0000         0.0000         0.0000          -5558.4188       367.8787         0.0000         0.0000       979.8811          -4210.6590       311.2996     -5190.5402     -4207.6404       303.3158           -642.6709      -620.5712     22927.5616      -198.9780      -198.9077
ENERGY:  260000         0.0000         0.0000         0.0000         0.0000          -5593.6162       403.5664         0.0000         0.0000       916.6686          -4273.3811       291.2176     -5190.0497     -4271.3055       304.5352            -88.4733       -72.9334     22674.7155      -220.0740      -220.1684
