# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 0
80 0 2
90 0 5
100 0 6
110 0 8
120 0 8
130 0 12
140 0 16
150 0 20
160 0 23
170 0 25
180 0 28
190 0 29
200 0 30
210 0 33
220 0 35
230 0 36
240 0 36
250 0 38
260 0 40
270 0 42
280 0 43
290 0 46
300 0 46
310 0 50
320 0 50
330 0 53
340 0 54
350 0 55
360 0 58
370 0 61
380 0 63
390 0 65
400 0 67
410 0 70
420 0 71
430 0 75
440 0 78
450 0 80
460 0 82
470 0 86
480 0 87
490 0 89
500 0 92
510 0 96
520 0 97
530 0 99
540 0 99
550 0 100
560 0 100
570 0 103
580 0 104
590 0 107
600 0 109
